date;ref_o3;ref_no2;o3;no2;temp;humidity
2018-06-20 16:00:00;151.0;5.0;24.0;-1.21;31.79;40.79
2018-06-20 17:00:00;154.0;6.0;25.68;0.61;30.58;44.35
2018-06-20 18:00:00;155.0;10.0;23.84;0.12;30.39;44.36
2018-06-20 19:00:00;152.0;10.0;25.01;1.31;28.98;48.57
2018-06-20 20:00:00;147.0;17.0;24.39;3.22;26.59;62.37
2018-06-20 21:00:00;118.0;23.0;21.19;4.64;23.87;89.8
2018-06-20 22:00:00;75.0;34.0;19.71;5.29;21.77;99.74
2018-06-20 23:00:00;50.0;39.0;18.37;2.87;21.43;99.9
2018-06-21 00:00:00;75.0;12.0;17.11;1.31;21.06;99.9
2018-06-21 01:00:00;76.0;8.0;16.01;1.28;20.92;99.9
2018-06-21 02:00:00;76.0;6.0;14.99;0.48;19.95;99.9
2018-06-21 03:00:00;63.0;9.0;13.45;2.68;18.37;99.9
2018-06-21 04:00:00;46.0;8.0;12.49;3.33;17.76;99.9
2018-06-21 05:00:00;40.0;10.0;11.95;0.42;20.16;99.69
2018-06-21 06:00:00;41.0;12.0;11.91;-0.73;24.87;93.63
2018-06-21 07:00:00;55.0;15.0;12.91;-1.13;27.31;82.28
2018-06-21 08:00:00;59.0;23.0;14.87;-2.04;29.34;68.71
2018-06-21 09:00:00;86.0;18.0;17.28;-3.34;31.34;52.53
2018-06-21 10:00:00;120.0;14.0;20.46;-3.21;32.02;48.13
2018-06-21 11:00:00;152.0;9.0;22.47;-2.79;32.99;44.57
2018-06-21 12:00:00;164.0;7.0;22.65;-4.81;33.66;40.58
2018-06-21 13:00:00;166.0;5.0;24.23;-2.85;34.3;39.95
2018-06-21 14:00:00;166.0;5.0;25.39;-2.81;35.83;38.72
2018-06-21 15:00:00;170.0;5.0;25.74;-2.2;35.72;39.31
2018-06-21 16:00:00;171.0;5.0;23.75;-3.06;36.21;37.68
2018-06-21 17:00:00;162.0;3.0;24.53;-1.23;35.2;40.73
2018-06-21 18:00:00;150.0;5.0;22.73;-0.52;33.56;42.97
2018-06-21 19:00:00;138.0;5.0;20.82;0.92;30.74;45.76
2018-06-21 20:00:00;116.0;6.0;20.77;3.09;26.73;59.77
2018-06-21 21:00:00;95.0;9.0;19.4;3.06;24.58;77.17
2018-06-21 22:00:00;80.0;12.0;18.31;2.61;23.15;91.93
2018-06-21 23:00:00;84.0;9.0;17.53;2.56;21.92;98.94
2018-06-22 00:00:00;66.0;17.0;16.54;2.53;21.87;99.52
2018-06-22 01:00:00;52.0;20.0;15.49;2.32;21.41;99.9
2018-06-22 02:00:00;50.0;18.0;13.72;2.6;20.22;99.9
2018-06-22 03:00:00;35.0;24.0;11.64;3.07;19.45;99.9
2018-06-22 04:00:00;19.0;24.0;10.63;3.34;19.15;99.9
2018-06-22 05:00:00;15.0;24.0;11.29;3.95;19.85;99.9
2018-06-22 06:00:00;13.0;27.0;11.36;2.59;22.81;99.37
2018-06-22 07:00:00;16.0;43.0;12.15;0.76;26.11;89.48
2018-06-22 08:00:00;53.0;37.0;14.86;0.12;27.28;81.87
2018-06-22 09:00:00;74.0;37.0;17.53;-0.09;28.07;80.27
2018-06-22 10:00:00;104.0;17.0;19.73;0.26;28.58;84.31
2018-06-22 11:00:00;119.0;14.0;22.38;0.61;28.22;91.31
2018-06-22 12:00:00;136.0;9.0;23.9;0.94;27.9;93.96
2018-06-22 13:00:00;138.0;7.0;23.79;0.71;28.4;92.32
2018-06-22 14:00:00;141.0;7.0;22.76;0.58;28.58;89.77
2018-06-22 15:00:00;139.0;7.0;23.13;0.48;27.95;92.04
2018-06-22 16:00:00;137.0;7.0;22.78;1.47;26.95;94.84
2018-06-22 17:00:00;130.0;7.0;21.36;1.21;25.82;96.76
2018-06-22 18:00:00;117.0;8.0;19.99;2.28;24.05;99.84
2018-06-22 19:00:00;100.0;8.0;18.9;2.78;22.55;99.9
2018-06-22 20:00:00;93.0;8.0;18.33;1.68;21.75;99.9
2018-06-22 21:00:00;94.0;6.0;17.33;1.07;21.08;99.9
2018-06-22 22:00:00;98.0;4.0;17.49;0.56;20.37;99.9
2018-06-22 23:00:00;95.0;4.0;17.18;-0.24;19.85;99.9
2018-06-23 00:00:00;94.0;4.0;16.59;1.01;19.21;99.9
2018-06-23 01:00:00;90.0;5.0;16.32;1.32;18.51;99.9
2018-06-23 02:00:00;85.0;6.0;15.62;1.56;18.26;99.9
2018-06-23 03:00:00;82.0;6.0;14.64;2.02;17.77;99.9
2018-06-23 04:00:00;64.0;9.0;13.59;2.25;17.12;99.9
2018-06-23 05:00:00;61.0;10.0;12.26;1.62;17.53;99.9
2018-06-23 06:00:00;51.0;18.0;11.46;0.79;18.79;99.72
2018-06-23 07:00:00;55.0;18.0;12.12;-0.12;19.92;97.67
2018-06-23 08:00:00;65.0;14.0;12.66;0.28;21.41;92.76
2018-06-23 09:00:00;75.0;10.0;13.2;-1.42;22.95;72.41
2018-06-23 10:00:00;91.0;7.0;13.54;-2.45;24.17;55.03
2018-06-23 11:00:00;100.0;5.0;14.51;-1.98;25.16;49.17
2018-06-23 12:00:00;107.0;5.0;15.65;-0.92;25.64;44.9
2018-06-23 13:00:00;114.0;4.0;16.17;-0.4;26.92;39.39
2018-06-23 14:00:00;116.0;2.0;15.89;-1.81;28.65;34.49
2018-06-23 15:00:00;118.0;3.0;17.6;-0.24;28.41;34.74
2018-06-23 16:00:00;122.0;3.0;19.12;-0.32;27.73;36.27
2018-06-23 17:00:00;122.0;3.0;19.67;0.46;26.83;36.39
2018-06-23 18:00:00;124.0;4.0;20.1;1.44;25.84;37.72
2018-06-23 19:00:00;120.0;7.0;20.56;1.89;24.42;41.29
2018-06-23 20:00:00;115.0;10.0;20.31;2.67;22.65;48.09
2018-06-23 21:00:00;102.0;14.0;19.23;3.09;20.82;57.95
2018-06-23 22:00:00;87.0;16.0;17.18;3.46;18.67;75.12
2018-06-23 23:00:00;65.0;18.0;16.37;4.43;16.64;95.84
2018-06-24 00:00:00;48.0;22.0;14.52;4.81;15.04;99.9
2018-06-24 01:00:00;29.0;29.0;13.43;4.34;14.75;99.89
2018-06-24 02:00:00;32.0;25.0;12.62;2.44;16.18;99.8
2018-06-24 03:00:00;50.0;18.0;11.51;2.73;15.05;99.88
2018-06-24 04:00:00;34.0;21.0;10.83;3.14;14.01;99.9
