date,RefSt,Sensor_O3,Temp,RelHum
06/04/2017 15:00:00,121,569.62,21,33
06/04/2017 16:00:00,81,517.84,20,35
06/04/2017 17:00:00,55,311.34,18,40
06/04/2017 18:00:00,53,224.6537,17.3,46.67
06/04/2017 19:00:00,65,162.2033,16.57,50.9
06/04/2017 20:00:00,67,329.4723,15.73,56.27
06/04/2017 21:00:00,45,241.1417,15,63.79
06/04/2017 22:00:00,33,150.0313,14,64.47
06/04/2017 23:00:00,59,138.921,13,55.27
07/04/2017 00:00:00,66,320.4197,13,53
07/04/2017 01:00:00,74,362.534,12.87,53.9
07/04/2017 02:00:00,80,507.758,12,55.1
07/04/2017 03:00:00,51,524.045,12,54
07/04/2017 04:00:00,18,172.342,11.77,54.43
07/04/2017 05:00:00,47,81.8697,12.2,54.5
07/04/2017 06:00:00,34,185.54,12.76,49.69
07/04/2017 07:00:00,55,87.0783,17.53,39.3
07/04/2017 08:00:00,77,177.6003,23.6,32.3
07/04/2017 09:00:00,77,147.06,27,26
07/04/2017 10:00:00,85,188.649,26.21,28
07/04/2017 11:00:00,78,157.5307,24.07,29.13
07/04/2017 12:00:00,107,217.63,22.25,31.92
07/04/2017 13:00:00,110,335.17,21,34
07/04/2017 15:00:00,104,472.4513,18.4,37.2
07/04/2017 16:00:00,92,452.401,17.9,38.6
07/04/2017 17:00:00,76,396.9127,17.07,39
07/04/2017 18:00:00,58,308.7083,16.6,39.4
07/04/2017 19:00:00,49,201.505,14.73,44.07
07/04/2017 20:00:00,73,171.245,14.03,49.1
07/04/2017 21:00:00,52,330.4423,13.2,52.97
07/04/2017 22:00:00,44,181.8231,13,56.76
07/04/2017 23:00:00,40,134.82,12.67,57.23
08/04/2017 00:00:00,20,115.884,12,58.73
08/04/2017 01:00:00,7,57.4828,12,62.1
08/04/2017 02:00:00,5,39.4227,12,63.23
08/04/2017 03:00:00,6,37.6543,12,63.07
08/04/2017 04:00:00,5,38.29,11,63.1
08/04/2017 05:00:00,6,35.1897,11,63.3
08/04/2017 06:00:00,11,38.083,11.57,59.13
08/04/2017 07:00:00,23,36.2313,18.3,45.57
08/04/2017 08:00:00,58,42.6407,22.83,33.53
08/04/2017 09:00:00,80,191.676,24.17,29.27
08/04/2017 10:00:00,88,203.6583,23.8,31.1
08/04/2017 11:00:00,117,253.54,25.3,30.33
08/04/2017 12:00:00,126,420.62,24.2,30.57
08/04/2017 13:00:00,122,441.6445,24.07,30.69
08/04/2017 14:00:00,121,404.5597,23.87,32.27
08/04/2017 15:00:00,126,506.1223,21.5,33.83
08/04/2017 16:00:00,124,615.3657,20.23,34.7
08/04/2017 17:00:00,113,568.65,18.93,35.1
