date,RefSt,Sensor_O3,Temp,RelHum,,,
28/04/2017 14:00:00,100,160.67,19,24,PR,17016,1
28/04/2017 15:00:00,106,364.4533,13.87,26.6,PR,17016,1
28/04/2017 16:00:00,106,414.444,13,27,PR,17016,1
28/04/2017 17:00:00,99,414.7033,12.63,27.37,PR,17016,1
28/04/2017 18:00:00,87,366.7083,11.87,28,PR,17016,1
28/04/2017 19:00:00,75,274.09,10.63,28.37,PR,17016,1
28/04/2017 20:00:00,26,210.5143,10,36.23,PR,17016,1
28/04/2017 21:00:00,20,35.5697,8.9,44.9,PR,17016,1
28/04/2017 22:00:00,41,33.839,8,53.37,PR,17016,1
28/04/2017 23:00:00,60,69.386,7,54,PR,17016,1
29/04/2017 00:00:00,54,130.7648,7,54.03,PR,17016,1
29/04/2017 02:00:00,44,49.6957,7,58.03,PR,17016,1
29/04/2017 03:00:00,61,73.729,7,61.53,PR,17016,1
29/04/2017 04:00:00,50,145.7683,7,66.21,PR,17016,1
29/04/2017 05:00:00,20,90.5257,7,64.57,PR,17016,1
29/04/2017 06:00:00,20,32.2627,9.2,65.17,PR,17016,1
29/04/2017 07:00:00,47,32.0897,18.5,30.5,PR,17016,1
29/04/2017 08:00:00,93,74.923,19.27,29.23,PR,17016,1
29/04/2017 09:00:00,97,295.0337,20.53,23.47,PR,17016,1
29/04/2017 10:00:00,103,334.5047,22.07,22.73,PR,17016,1
29/04/2017 11:00:00,110,366.719,19.67,23.83,PR,17016,1
29/04/2017 12:00:00,111,392.6907,18.63,24.3,PR,17016,1
29/04/2017 13:00:00,110,395.7717,19.67,24,PR,17016,1
29/04/2017 14:00:00,111,394.7303,17.23,25.07,PR,17016,1
29/04/2017 15:00:00,105,396.649,16.7,25.43,PR,17016,1
29/04/2017 16:00:00,99,394.9007,13.2,40.1,PR,17016,1
29/04/2017 17:00:00,96,377.88,13,40,PR,17016,1
29/04/2017 18:00:00,89,371.825,13,39.9,PR,17016,1
29/04/2017 19:00:00,88,344.426,12,41,PR,17016,1
29/04/2017 20:00:00,95,339.0523,12,44.17,PR,17016,1
29/04/2017 21:00:00,90,344.54,12,48.37,PR,17016,1
29/04/2017 22:00:00,100,326.2113,12,50,PR,17016,1
29/04/2017 23:00:00,104,343.3233,11.63,52.5,PR,17016,1
30/04/2017 00:00:00,103,371.2027,12,53,PR,17016,1
30/04/2017 02:00:00,83,297.6397,12,53.63,PR,17016,1
30/04/2017 03:00:00,79,265.973,11.73,57.5,PR,17016,1
30/04/2017 04:00:00,84,259.1117,12,67.07,PR,17016,1
30/04/2017 05:00:00,82,250.4337,12,65.33,PR,17016,1
30/04/2017 06:00:00,82,267.8637,12,70.27,PR,17016,1
30/04/2017 07:00:00,84,252.6333,12,77.77,PR,17016,1
30/04/2017 08:00:00,84,255.3797,12.8,80.97,PR,17016,1
30/04/2017 09:00:00,86,254.8747,15.77,74.4,PR,17016,1
30/04/2017 10:00:00,87,260.651,16.27,67.47,PR,17016,1
30/04/2017 11:00:00,88,274.1543,16.97,62.67,PR,17016,1
30/04/2017 12:00:00,91,272.1407,17,56.67,PR,17016,1
30/04/2017 13:00:00,96,288.0537,15.9,57.9,PR,17016,1
30/04/2017 14:00:00,96,297.3273,15.5,67,PR,17016,1
30/04/2017 15:00:00,102,313.497,16.03,64.03,PR,17016,1
30/04/2017 16:00:00,93,339.3283,16,60.27,PR,17016,1
30/04/2017 17:00:00,88,304.5337,15.5,62.87,PR,17016,1
30/04/2017 18:00:00,80,271.078,14,69.83,PR,17016,1
30/04/2017 19:00:00,74,243.4053,13.77,71.2,PR,17016,1
30/04/2017 20:00:00,81,214.1087,13.8,72.37,PR,17016,1
30/04/2017 21:00:00,87,311.4983,12.93,64.13,PR,17016,1
30/04/2017 22:00:00,101,338.453,13,55.43,PR,17016,1
30/04/2017 22:30:00,106,378.6267,12.73,53.57,PR,17016,1
30/04/2017 23:00:00,101,438.8813,13,50.43,PR,17016,1
30/04/2017 23:30:00,98,424.853,13,48.97,PR,17016,1
01/05/2017 00:00:00,94,410.5233,12.43,48.63,PR,17016,1
