,date,,,,,,Temp,Hum
17032,2019-02-06T09:56:58,51.26,74.15,54.28,53.98,334.02,21,31
17032,2019-02-06T10:19:18,21.04,28.48,21.5,23.08,247.98,22,31
17032,2019-02-06T10:30:18,36.2554545455,41.5954545455,35.4436363636,39.0527272727,301.343636364,21.0909090909,31
17032,2019-02-06T11:00:20,51.3183333333,63.0286666667,52.7353333333,54.2593333333,342.208,20.1333333333,31.8333333333
17032,2019-02-06T11:30:21,53.12,62.0323333333,56.6116666667,58.4006666667,353.798666667,20.8333333333,31.1666666667
17032,2019-02-06T12:00:23,58.2576666667,64.5366666667,58.6093333333,62.5833333333,361.727,21.0666666667,31.0666666667
17032,2019-02-06T12:30:24,60.8926666667,66.836,59.5413333333,62.4823333333,371.494333333,21.4666666667,31
17032,2019-02-06T13:00:26,71.0286666667,72.2413333333,70.308,70.091,385.414333333,22.6666666667,30.4
17032,2019-02-06T13:30:27,124.473666667,112.332,115.638333333,119.276666667,342.775333333,19.2666666667,31.9666666667
17032,2019-02-06T14:00:29,136.247666667,129.843666667,129.473,130.976,322.424666667,18.3333333333,32.6666666667
17032,2019-02-06T14:30:30,147.565,141.379333333,138.802333333,138.847666667,322.335666667,17.1,33
17032,2019-02-06T15:00:32,150.248666667,144.326666667,141.282,142.635333333,315.165666667,17,33
17032,2019-02-06T15:30:33,140.288333333,143.006,132.473,133.03,313.082333333,16.8333333333,33.1666666667
17032,2019-02-06T16:00:35,143.672,149.835333333,135.624,135.948333333,310.280666667,16.0666666667,33.9333333333
17032,2019-02-06T16:30:36,175.574,174.001,163.722333333,164.032333333,307.328,15.7666666667,34
17032,2019-02-06T17:00:38,215.567,212.515666667,196.599333333,198.715333333,311.410333333,14.7333333333,34.2666666667
17032,2019-02-06T17:30:39,209.227,218.058333333,192.977666667,194.940666667,303.083666667,13.9666666667,35.7333333333
17032,2019-02-06T18:00:41,230.349,233.924333333,209.955,211.900666667,304.985,13.3,38.5666666667
17032,2019-02-06T18:30:42,186.310666667,204.304,182.100666667,177.539333333,296.013,13,43.8666666667
17032,2019-02-06T19:00:44,180.599666667,214.968333333,188.133,178.563333333,298.645,12.4,46.7333333333
17032,2019-02-06T19:30:46,181.435,222.941333333,193.278333333,182.082,292.982333333,12.0333333333,46.2666666667
17032,2019-02-06T20:00:47,185.736333333,231.016333333,199.205,188.263,293.128333333,12,45.7333333333
17032,2019-02-06T20:30:49,188.307333333,237.227,203.407333333,192.019666667,290.268,12,45.4333333333
17032,2019-02-06T21:00:50,169.029666667,215.657666667,183.727,172.530666667,289.702333333,12,43.3
17032,2019-02-06T21:30:52,157.733666667,200.888666667,171.192666667,160.713,291.125,11.0333333333,45.0333333333
17032,2019-02-06T22:00:53,161.398666667,204.960333333,175.421,165.123333333,290.227,11,46.3666666667
17032,2019-02-06T22:30:55,161.682666667,207.056333333,176.44,166.964666667,287.331333333,11,47.7666666667
17032,2019-02-06T23:00:56,171.031333333,219.347333333,187.225333333,176.589,286.354666667,11,48.8333333333
17032,2019-02-06T23:30:58,176.799333333,229.972666667,194.905666667,183.106666667,288.072333333,10.8,49.8
17032,2019-02-07T00:00:59,164.687333333,211.221666667,181.224,170.564666667,286.478666667,10.0333333333,50.9666666667
17032,2019-02-07T00:30:00,162.685862069,211.619655172,180.34862069,168.326206897,285.907241379,10,51.5862068966
17032,2019-02-07T01:00:02,155.447,201.468666667,171.926666667,159.867333333,286.213333333,10,51.8666666667
17032,2019-02-07T01:15:44,154.73,200.29,170.9,159.24,284.48,10,52
17032,2019-02-07T01:30:45,151.784666667,196.360666667,167.617333333,155.304666667,285.378,10,52
17032,2019-02-07T02:00:47,151.871666667,193.840333333,167.310666667,155.887333333,280.894,10,52.4333333333
17032,2019-02-07T02:30:48,158.278,202.427,174.973,163.062333333,279.603666667,10,52.9333333333
