date,RefSt,Sensor_O3,Temp,RelHum,,,
06/04/2017 14:00:00,124,266.3279,24.26,18.68,PR,17017,2
06/04/2017 15:00:00,121,698.6755,19,24.45,PR,17017,2
06/04/2017 16:00:00,81,661.5437,18.03,28.6,PR,17017,2
06/04/2017 17:00:00,55,446.017,16.93,37.37,PR,17017,2
06/04/2017 18:00:00,53,299.684,15.87,44.6,PR,17017,2
06/04/2017 19:00:00,65,223.786,14.73,46.47,PR,17017,2
06/04/2017 20:00:00,67,469.8097,13.73,50.73,PR,17017,2
06/04/2017 21:00:00,45,351.1627,12.47,54.9,PR,17017,2
06/04/2017 22:00:00,33,197.5697,12.17,56.3,PR,17017,2
06/04/2017 23:00:00,59,196.4613,10.53,53.33,PR,17017,2
07/04/2017 00:00:00,66,445.8847,10.13,51.4,PR,17017,2
07/04/2017 02:00:00,80,707.9207,9.13,51.83,PR,17017,2
07/04/2017 03:00:00,51,640.913,9.03,51.27,PR,17017,2
07/04/2017 04:00:00,18,252.4757,8.77,52.03,PR,17017,2
07/04/2017 05:00:00,47,99.4233,8.8,52.2,PR,17017,2
07/04/2017 06:00:00,34,265.796,9.33,50,PR,17017,2
07/04/2017 07:00:00,55,94.5567,21.87,24.37,PR,17017,2
07/04/2017 08:00:00,77,294.83,26.07,17.4,PR,17017,2
07/04/2017 09:00:00,77,333.6167,28.33,16.63,PR,17017,2
07/04/2017 10:00:00,85,455.7523,23.53,18.9,PR,17017,2
07/04/2017 11:00:00,78,433.6203,21.57,19.7,PR,17017,2
07/04/2017 12:00:00,107,387.1564,19.91,20.55,PR,17017,2
07/04/2017 13:00:00,110,503.2527,19.4,20.97,PR,17017,2
07/04/2017 14:00:00,108,543.4907,22.27,19.43,PR,17017,2
07/04/2017 15:00:00,104,734.3303,16.13,35.5,PR,17017,2
07/04/2017 16:00:00,92,722.5677,14.43,37.83,PR,17017,2
07/04/2017 17:00:00,76,610.8687,14.43,39.4,PR,17017,2
07/04/2017 18:00:00,58,451.918,13.2,39.03,PR,17017,2
07/04/2017 19:00:00,49,300.348,11.5,46.13,PR,17017,2
07/04/2017 20:00:00,73,272.033,11.07,49.03,PR,17017,2
07/04/2017 21:00:00,52,534.0523,10,53.17,PR,17017,2
07/04/2017 22:00:00,44,295.4313,10.03,55.77,PR,17017,2
07/04/2017 23:00:00,40,237.3087,9,55.2,PR,17017,2
08/04/2017 00:00:00,20,187.07,9,58.17,PR,17017,2
08/04/2017 02:00:00,5,30.4607,8.87,63.53,PR,17017,2
08/04/2017 03:00:00,6,26.797,8.57,66.77,PR,17017,2
08/04/2017 04:00:00,5,26.5063,8,65.07,PR,17017,2
08/04/2017 05:00:00,6,25.084,8,66.77,PR,17017,2
08/04/2017 06:00:00,11,28.1287,8.33,64.63,PR,17017,2
08/04/2017 07:00:00,23,22.999,24.53,29.53,PR,17017,2
08/04/2017 08:00:00,58,38.1317,26.93,17.6,PR,17017,2
08/04/2017 09:00:00,80,324.094,28.17,16.6,PR,17017,2
08/04/2017 10:00:00,88,449.905,23.03,19.17,PR,17017,2
08/04/2017 11:00:00,117,649.024,21.47,20.17,PR,17017,2
08/04/2017 12:00:00,126,859.8583,21.53,19.43,PR,17017,2
08/04/2017 13:00:00,122,829.4677,21.43,19.87,PR,17017,2
08/04/2017 14:00:00,121,624.1303,25.97,17.03,PR,17017,2
08/04/2017 15:00:00,126,860.848,19.03,21.57,PR,17017,2
08/04/2017 16:00:00,124,995.7833,17.17,22.27,PR,17017,2
08/04/2017 17:00:00,113,922.8253,16.03,25.3,PR,17017,2
08/04/2017 18:00:00,91,874.929,14.33,28.27,PR,17017,2
08/04/2017 19:00:00,70,595.9653,12.67,44.3,PR,17017,2
08/04/2017 20:00:00,17,363.364,11.07,45.87,PR,17017,2
08/04/2017 21:00:00,12,51.107,10.87,46.7,PR,17017,2
08/04/2017 22:00:00,35,55.1327,10,44.33,PR,17017,2
08/04/2017 23:00:00,23,162.22,9.53,40.63,PR,17017,2
09/04/2017 00:00:00,35,103.6057,9,40.63,PR,17017,2
09/04/2017 02:00:00,63,408.6567,9,40,PR,17017,2
09/04/2017 03:00:00,47,497.3183,8.63,41.1,PR,17017,2
